Problem Name,Status,First Attempted,Solved Date,Number of Attempts
Sign of the Product of an Array,Accepted,2023-05-02,2023-05-02,9
Average Salary Excluding the Minimum and Maximum Salary,Accepted,2023-05-02,2023-05-02,1
Add Digits,Accepted,2023-04-25,2023-04-25,2
Bulb Switcher,Accepted,2023-04-25,2023-04-25,8
Happy Number,Accepted,2023-04-25,2023-04-25,2
Multiply Strings,Accepted,2023-04-25,2023-04-25,2
Longest Common Prefix,Accepted,2023-04-25,2023-04-25,3
Counting Bits,Accepted,2023-04-09,2023-04-09,2
Number of 1 Bits,Accepted,2023-04-09,2023-04-09,1
Prime Subtraction Operation,Not Accepted,2023-03-26,Not Solved,1
K Items With the Maximum Sum,Accepted,2023-03-26,2023-03-26,1
Substrings That Begin and End With the Same Letter,Accepted,2023-03-02,2023-03-02,1
Merge k Sorted Lists,Accepted,2023-03-02,2023-03-02,1
Find the Maximum Number of Marked Indices,Accepted,2023-02-23,2023-03-02,5
Find the Divisibility Array of a String,Accepted,2023-02-23,2023-02-23,3
Left and Right Sum Differences,Accepted,2023-02-23,2023-02-23,1
Maximum Difference by Remapping a Digit,Accepted,2023-02-23,2023-02-23,2
Minimum Operations to Reduce an Integer to 0,Accepted,2023-02-16,2023-02-16,1
Merge Two 2D Arrays by Summing Values,Accepted,2023-02-16,2023-02-16,2
Find Minimum in Rotated Sorted Array,Accepted,2023-01-19,2023-01-19,3
Valid Parentheses,Accepted,2023-01-19,2023-01-19,1
First Bad Version,Accepted,2022-12-02,2022-12-02,1
Find Pivot Index,Accepted,2022-11-18,2022-11-18,1
Running Sum of 1d Array,Accepted,2022-11-09,2022-11-09,2
Isomorphic Strings,Accepted,2022-11-09,2022-11-09,1
Majority Element,Accepted,2022-11-09,2022-11-09,1
Single Number,Accepted,2022-11-09,2022-11-09,1
Rotate Image,Accepted,2019-10-09,2019-10-09,1
Length of Last Word,Accepted,2019-08-09,2019-08-09,1
Roman to Integer,Accepted,2018-09-09,2018-09-09,1
Binary Tree Paths,Not Accepted,2018-08-09,Not Solved,1
Move Zeroes,Accepted,2018-08-09,2018-08-09,1
